Algorithm,ArrayType,Size,AvgTime(us),AvgComparisons,Iterations
StringMergeSort,Reverse,2000,1452.32,47243,5
MSDRadixSort,Reverse,2000,595.241,0,5
MSDRadixSort+QS,Reverse,2000,223.099,8759,5
StringQuickSort,NearlySorted,2000,135.415,19466,5
StringMergeSort,NearlySorted,2000,1486.95,47308,5
MSDRadixSort,NearlySorted,2000,600.848,0,5
MSDRadixSort+QS,NearlySorted,2000,233.246,8916,5
StringQuickSort,Prefix,2000,373.154,123235,5
StringMergeSort,Prefix,2000,3250.2,1040729,5
MSDRadixSort,Prefix,2000,2970.9,0,5
MSDRadixSort+QS,Prefix,2000,2764.45,9427,5
QuickSort,Random,2100,226.878,34821,5
MergeSort,Random,2100,1588.87,28887,5
QuickSort,Reverse,2100,127.322,29421,5
MergeSort,Reverse,2100,1445.83,17969,5
QuickSort,NearlySorted,2100,152.047,33997,5
MergeSort,NearlySorted,2100,1442.07,26887,5
QuickSort,Prefix,2100,599.513,1276051,5
MergeSort,Prefix,2100,1866.04,1055023,5
StringQuickSort,Random,2100,200.981,22518,5
StringMergeSort,Random,2100,1789.41,45878,5
MSDRadixSort,Random,2100,600.746,0,5
MSDRadixSort+QS,Random,2100,295.608,10191,5
StringQuickSort,Reverse,2100,124.962,20142,5
StringMergeSort,Reverse,2100,1608.44,49956,5
MSDRadixSort,Reverse,2100,651.019,0,5
MSDRadixSort+QS,Reverse,2100,254.337,9223,5
StringQuickSort,NearlySorted,2100,143.416,20916,5
StringMergeSort,NearlySorted,2100,1655.9,49927,5
MSDRadixSort,NearlySorted,2100,632.683,0,5
MSDRadixSort+QS,NearlySorted,2100,268.521,9351,5
StringQuickSort,Prefix,2100,399.951,128026,5
StringMergeSort,Prefix,2100,3493.98,1100926,5
MSDRadixSort,Prefix,2100,3205.97,0,5
MSDRadixSort+QS,Prefix,2100,3020.24,10077,5
QuickSort,Random,2200,242.403,36972,5
MergeSort,Random,2200,1659.47,30536,5
QuickSort,Reverse,2200,134.419,31041,5
MergeSort,Reverse,2200,1480.7,18605,5
QuickSort,NearlySorted,2200,175.071,38223,5
MergeSort,NearlySorted,2200,1522.2,28667,5
QuickSort,Prefix,2200,680.559,1481516,5
MergeSort,Prefix,2200,1976.52,1112843,5
StringQuickSort,Random,2200,217.514,24676,5
StringMergeSort,Random,2200,1933.05,48523,5
MSDRadixSort,Random,2200,628.535,0,5
MSDRadixSort+QS,Random,2200,320.546,10794,5
StringQuickSort,Reverse,2200,127.488,21081,5
StringMergeSort,Reverse,2200,1714.33,52665,5
MSDRadixSort,Reverse,2200,711.499,0,5
MSDRadixSort+QS,Reverse,2200,271.187,9636,5
StringQuickSort,NearlySorted,2200,155.709,22827,5
StringMergeSort,NearlySorted,2200,1779.64,52848,5
MSDRadixSort,NearlySorted,2200,665.437,0,5
MSDRadixSort+QS,NearlySorted,2200,293.192,9845,5
StringQuickSort,Prefix,2200,426.254,137625,5
StringMergeSort,Prefix,2200,3672.19,1163602,5
MSDRadixSort,Prefix,2200,3312.59,0,5
MSDRadixSort+QS,Prefix,2200,3092.6,10572,5
QuickSort,Random,2300,262.35,39090,5
MergeSort,Random,2300,1812.07,32227,5
QuickSort,Reverse,2300,142.083,32811,5
MergeSort,Reverse,2300,1572.54,19478,5
QuickSort,NearlySorted,2300,172.219,37953,5
MergeSort,NearlySorted,2300,1654.35,30433,5
QuickSort,Prefix,2300,723.912,1548252,5
MergeSort,Prefix,2300,2096.69,1172228,5
StringQuickSort,Random,2300,230.82,27766,5
StringMergeSort,Random,2300,2026.38,51201,5
MSDRadixSort,Random,2300,661.593,0,5
MSDRadixSort+QS,Random,2300,325.347,11349,5
StringQuickSort,Reverse,2300,136.283,22449,5
StringMergeSort,Reverse,2300,1828.01,55489,5
MSDRadixSort,Reverse,2300,715.811,0,5
MSDRadixSort+QS,Reverse,2300,276.793,10078,5
StringQuickSort,NearlySorted,2300,157.474,22912,5
StringMergeSort,NearlySorted,2300,1872.44,55826,5
MSDRadixSort,NearlySorted,2300,696.461,0,5
MSDRadixSort+QS,NearlySorted,2300,295.183,10339,5
StringQuickSort,Prefix,2300,436.485,141157,5
StringMergeSort,Prefix,2300,3919.48,1226298,5
MSDRadixSort,Prefix,2300,3537.52,0,5
MSDRadixSort+QS,Prefix,2300,3274.26,11554,5
